time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z,zeta,AoA,M1,M2,M3
0.0,0.0,0.0,0.0,0.0,0.0,-0.24525000000000002,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,2.312948983836503,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,4.603351647874327,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0,0.0,0.0,6.961954702098504,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,9.388547967877727,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0,11.869434158881607,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,14.393889770036917,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.175,0.0,0.0,0.011879102103055204,0.0,0.0,16.959040606334995,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0.19999999999999998,0.0,0.0,0.026850108241265914,0.0,0.0,19.520774655290573,0.9999999559021695,0.0,0.0,0.00029697753948031434,0.0,,0.0,0.0,0.0
0.22499999999999998,0.0,0.0,0.04474571362342463,0.0,0.0,22.06708437794148,0.9999995312652259,0.0,0.0,0.0009682299977785681,0.0,,0.0,0.0,0.0
0.24999999999999997,0.0,0.0,0.06521907155260816,0.0,0.0,24.596138298396433,0.9999978224823267,0.0,0.0,0.002086871008302458,0.0,,0.0,0.0,0.0
0.27499999999999997,0.0,0.0,0.08780765993040746,0.0,0.0,27.09998175973623,0.9999930906703745,0.0,0.0,0.00371733930554011,0.0,,0.0,0.0,0.0
0.3,0.0,0.0,0.1119695393373008,0.0,0.0,29.572314602482468,0.9999825210108946,0.0,0.0,0.005912501390740686,0.0,,0.0,0.0,0.0
0.325,0.0,0.0,0.1371389575247637,0.0,0.0,32.01285679617229,0.9999620527977715,0.0,0.0,0.00871165681525927,0.0,,0.0,0.0,0.0
