# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
85.055,-5.55,7.09,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN,NaN
85.339,-5.551,7.099,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN,NaN
85.622,-5.551,7.119,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,26.969,293.153,NaN,NaN,NaN
85.905,-5.464,7.527,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,24.662,293.153,NaN,NaN,NaN
86.193,-5.546,7.696,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.403,293.153,NaN,NaN,NaN
86.477,-5.546,7.592,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.674,293.153,NaN,NaN,NaN
86.76,-5.53,7.361,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.199,293.153,NaN,NaN,NaN
87.044,-5.548,7.344,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.429,293.153,NaN,NaN,NaN
87.327,-5.545,7.248,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN,NaN
87.611,-5.546,7.189,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.403,293.153,NaN,NaN,NaN
87.894,-5.545,7.269,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.441,293.153,NaN,NaN,NaN
88.177,-5.542,7.383,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.313,293.153,NaN,NaN,NaN
88.46,-5.547,7.381,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.42,293.153,NaN,NaN,NaN
88.743,-5.543,7.465,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.337,293.153,NaN,NaN,NaN
89.027,-5.546,7.472,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
89.31,-5.545,7.441,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.39,293.153,NaN,NaN,NaN
89.593,-5.543,7.502,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
89.876,-5.544,7.457,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.485,293.153,NaN,NaN,NaN
90.159,-5.537,7.585,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.613,293.153,NaN,NaN,NaN
90.442,-5.527,7.793,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.216,293.153,NaN,NaN,NaN
90.726,-5.543,7.838,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.536,293.153,NaN,NaN,NaN
91.009,-5.533,7.669,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.819,293.153,NaN,NaN,NaN
91.292,-5.513,7.376,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.76,293.153,NaN,NaN,NaN
91.576,-5.506,7.077,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN,NaN
91.861,-5.523,6.893,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.207,293.153,NaN,NaN,NaN
92.145,-5.541,6.874,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN,NaN
92.427,-5.54,6.924,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.454,293.153,NaN,NaN,NaN
92.71,-5.535,7.027,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.704,293.153,NaN,NaN,NaN
92.993,-5.519,7.233,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.541,293.153,NaN,NaN,NaN
93.277,-5.52,7.456,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,26.038,293.153,NaN,NaN,NaN
93.561,-5.493,7.794,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.059,293.153,NaN,NaN,NaN
93.846,-5.532,7.958,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.588,293.153,NaN,NaN,NaN
94.129,-5.523,7.743,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.532,293.153,NaN,NaN,NaN
94.412,-5.521,7.529,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.233,293.153,NaN,NaN,NaN
94.696,-5.536,7.485,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.387,293.153,NaN,NaN,NaN
94.978,-5.535,7.417,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,293.153,NaN,NaN,NaN
95.261,-5.536,7.47,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN,NaN
95.544,-5.536,7.475,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
95.826,-5.536,7.482,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.493,293.153,NaN,NaN,NaN
96.109,-5.529,7.345,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.305,293.153,NaN,NaN,NaN
96.391,-5.535,7.374,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.72,293.153,NaN,NaN,NaN
96.674,-5.515,7.582,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN,NaN
96.957,-5.526,7.742,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.382,293.153,NaN,NaN,NaN
97.24,-5.529,7.625,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.408,293.153,NaN,NaN,NaN
97.523,-5.529,7.741,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.438,293.153,NaN,NaN,NaN
97.805,-5.527,7.874,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.608,293.153,NaN,NaN,NaN
98.088,-5.516,8.086,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.217,293.153,NaN,NaN,NaN
98.371,-5.532,8.075,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.424,293.153,NaN,NaN,NaN
98.654,-5.529,8.171,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.345,293.153,NaN,NaN,NaN
98.936,-5.531,8.131,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.382,293.153,NaN,NaN,NaN
99.218,-5.53,8.069,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,26.83,293.153,NaN,NaN,NaN
99.501,-5.451,7.527,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,24.643,293.153,NaN,NaN,NaN
99.787,-5.531,7.571,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.571,293.153,NaN,NaN,NaN
100.069,-5.519,7.395,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.274,293.153,NaN,NaN,NaN
100.352,-5.529,7.44,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.414,293.153,NaN,NaN,NaN
100.634,-5.526,7.353,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.339,293.153,NaN,NaN,NaN
100.916,-5.529,7.364,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.708,293.153,NaN,NaN,NaN
101.198,-5.51,7.568,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.225,293.153,NaN,NaN,NaN
101.481,-5.526,7.514,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN,NaN
101.981,-5.526,7.614,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN,NaN
102.264,-5.526,7.591,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.364,293.153,NaN,NaN,NaN
102.546,-5.526,7.578,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.411,293.153,NaN,NaN,NaN
102.828,-5.523,7.657,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.452,293.153,NaN,NaN,NaN
103.11,-5.519,7.782,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.558,293.153,NaN,NaN,NaN
103.392,-5.512,7.585,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.552,293.153,NaN,NaN,NaN
103.675,-5.508,7.374,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.242,293.153,NaN,NaN,NaN
103.957,-5.523,7.451,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN,NaN
104.239,-5.524,7.479,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.694,293.153,NaN,NaN,NaN
104.521,-5.505,7.684,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.524,293.153,NaN,NaN,NaN
104.804,-5.505,7.906,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.519,293.153,NaN,NaN,NaN
105.304,-5.505,7.522,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.742,293.153,NaN,NaN,NaN
105.587,-5.493,7.243,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.207,293.153,NaN,NaN,NaN
105.87,-5.516,7.378,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.314,293.153,NaN,NaN,NaN
106.152,-5.521,7.368,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN,NaN
106.434,-5.521,7.381,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.595,293.153,NaN,NaN,NaN
106.715,-5.508,7.198,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.253,293.153,NaN,NaN,NaN
106.998,-5.52,7.225,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.412,293.153,NaN,NaN,NaN
107.279,-5.517,7.301,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.742,293.153,NaN,NaN,NaN
107.561,-5.497,7.521,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.207,293.153,NaN,NaN,NaN
107.844,-5.516,7.611,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.426,293.153,NaN,NaN,NaN
108.126,-5.514,7.717,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.456,293.153,NaN,NaN,NaN
108.407,-5.511,7.855,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN,NaN
108.689,-5.515,7.774,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN,NaN
108.971,-5.516,7.817,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN,NaN
109.253,-5.516,7.785,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.406,293.153,NaN,NaN,NaN
109.534,-5.514,7.703,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.808,293.153,NaN,NaN,NaN
109.816,-5.491,7.427,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.273,293.153,NaN,NaN,NaN
110.098,-5.508,7.304,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.449,293.153,NaN,NaN,NaN
110.38,-5.507,7.164,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.313,293.153,NaN,NaN,NaN
110.662,-5.513,7.223,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.463,293.153,NaN,NaN,NaN
110.944,-5.508,7.103,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.313,293.153,NaN,NaN,NaN
111.225,-5.514,7.094,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.552,293.153,NaN,NaN,NaN
111.507,-5.503,7.238,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.277,293.153,NaN,NaN,NaN
111.788,-5.513,7.27,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.522,293.153,NaN,NaN,NaN
112.07,-5.504,7.408,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.425,293.153,NaN,NaN,NaN
112.351,-5.504,7.274,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.584,293.153,NaN,NaN,NaN
112.633,-5.496,7.463,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,293.153,NaN,NaN,NaN
112.915,-5.503,7.328,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.737,293.153,NaN,NaN,NaN
113.197,-5.487,7.077,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.241,293.153,NaN,NaN,NaN
113.479,-5.505,7.2,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.696,293.153,NaN,NaN,NaN
113.761,-5.489,7.411,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.181,293.153,NaN,NaN,NaN
114.043,-5.509,7.404,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.369,293.153,NaN,NaN,NaN
114.324,-5.509,7.428,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.609,293.153,NaN,NaN,NaN
114.605,-5.495,7.603,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.265,293.153,NaN,NaN,NaN
114.887,-5.507,7.556,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.364,293.153,NaN,NaN,NaN
115.168,-5.507,7.521,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.513,293.153,NaN,NaN,NaN
115.449,-5.499,7.371,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.907,293.153,NaN,NaN,NaN
115.73,-5.473,7.069,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.248,293.153,NaN,NaN,NaN
116.013,-5.496,6.939,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.272,293.153,NaN,NaN,NaN
116.295,-5.506,6.943,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.5,293.153,NaN,NaN,NaN
116.576,-5.498,7.061,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.577,293.153,NaN,NaN,NaN
116.857,-5.49,7.24,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.294,293.153,NaN,NaN,NaN
117.139,-5.501,7.157,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN,NaN
117.42,-5.503,7.213,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.356,293.153,NaN,NaN,NaN
117.701,-5.504,7.229,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,293.153,NaN,NaN,NaN
117.981,-5.503,7.203,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.43,293.153,NaN,NaN,NaN
118.262,-5.499,7.292,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.34,293.153,NaN,NaN,NaN
118.543,-5.502,7.325,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN,NaN
118.824,-5.502,7.288,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.363,293.153,NaN,NaN,NaN
119.324,-5.502,7.321,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.727,293.153,NaN,NaN,NaN
119.605,-5.482,7.528,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.195,293.153,NaN,NaN,NaN
119.886,-5.5,7.575,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.584,293.153,NaN,NaN,NaN
120.167,-5.488,7.391,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,26.455,293.153,NaN,NaN,NaN
120.448,-5.435,6.954,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,24.784,293.153,NaN,NaN,NaN
120.732,-5.499,6.973,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.847,293.153,NaN,NaN,NaN
121.013,-5.473,7.195,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN,NaN
121.295,-5.485,7.383,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.25,293.153,NaN,NaN,NaN
121.576,-5.498,7.363,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.405,293.153,NaN,NaN,NaN
121.857,-5.495,7.287,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN,NaN
122.137,-5.497,7.26,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.363,293.153,NaN,NaN,NaN
122.418,-5.497,7.26,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.437,293.153,NaN,NaN,NaN
122.698,-5.493,7.352,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.333,293.153,NaN,NaN,NaN
122.979,-5.496,7.372,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN,NaN
123.259,-5.495,7.34,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.363,293.153,NaN,NaN,NaN
123.54,-5.495,7.33,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.416,293.153,NaN,NaN,NaN
123.82,-5.492,7.409,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.418,293.153,NaN,NaN,NaN
124.101,-5.49,7.306,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.346,293.153,NaN,NaN,NaN
124.381,-5.493,7.357,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.622,293.153,NaN,NaN,NaN
124.662,-5.479,7.537,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.3,293.153,NaN,NaN,NaN
124.943,-5.49,7.641,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.505,293.153,NaN,NaN,NaN
125.223,-5.483,7.481,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.388,293.153,NaN,NaN,NaN
125.504,-5.486,7.362,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN,NaN
125.785,-5.489,7.284,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.556,293.153,NaN,NaN,NaN
126.065,-5.48,7.446,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.412,293.153,NaN,NaN,NaN
126.346,-5.483,7.595,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.502,293.153,NaN,NaN,NaN
126.626,-5.479,7.769,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN,NaN
126.907,-5.485,7.89,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,293.153,NaN,NaN,NaN
127.187,-5.487,7.801,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.376,293.153,NaN,NaN,NaN
127.468,-5.487,7.876,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.572,293.153,NaN,NaN,NaN
127.748,-5.477,7.684,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.694,293.153,NaN,NaN,NaN
128.029,-5.465,7.424,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,26.4,293.153,NaN,NaN,NaN
128.31,-5.421,6.982,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.042,293.153,NaN,NaN,NaN
128.593,-5.472,6.84,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.328,293.153,NaN,NaN,NaN
128.874,-5.482,6.742,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
129.155,-5.484,6.82,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.789,293.153,NaN,NaN,NaN
129.435,-5.462,7.029,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.262,293.153,NaN,NaN,NaN
129.793,-5.484,7.2,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.396,293.153,NaN,0.18,NaN
