# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
12.023,957.267,15.376,19.023,-10.084,1.031,-1.134e-5,2589,0.287,84.1,63.5,2.624,0,0.793,0.596,0.216,0.614,2.377
12.073,958.023,14.872,18.613,-10.079,1.089,-1.134e-5,2589,0.287,84.1,63.5,2.618,0,0.769,0.596,0.232,0.605,2.275
12.123,958.754,14.368,18.209,-10.068,1.089,-1.134e-5,2589,0.287,84.1,63.5,2.618,0,0.746,0.596,0.233,0.595,2.177
12.173,959.46,13.865,17.81,-10.056,1.089,-1.133e-5,2589,0.287,84.1,63.5,2.619,0,0.723,0.596,0.231,0.585,2.083
12.223,960.141,13.362,17.416,-10.044,1.089,-1.132e-5,2589,0.287,84.1,63.5,2.62,0,0.698,0.596,0.227,0.575,1.992
12.273,960.796,12.861,17.03,-10.014,0.802,-1.132e-5,2589,0.287,84.3,63.5,2.643,0,0.68,0.596,0.166,0.565,1.905
12.323,961.427,12.361,16.649,-9.991,0.63,-1.132e-5,2589,0.287,84.4,63.5,2.657,0,0.658,0.596,0.128,0.553,1.822
12.373,962.032,11.862,16.276,-9.976,0.516,-1.132e-5,2589,0.287,84.4,63.5,2.663,0,0.632,0.596,0.113,0.542,1.741
12.423,962.613,11.364,15.911,-9.946,0.229,-1.133e-5,2589,0.287,84.7,63.5,2.691,0,0.614,0.596,0.043,0.538,1.665
12.473,963.169,10.867,15.553,-9.905,0.286,-1.133e-5,2589,0.287,84.6,63.5,2.682,0,0.601,0.596,0.065,0.54,1.591
12.523,963.7,10.373,15.204,-9.852,1.031,-1.133e-5,2589,0.287,84.1,63.5,2.624,0,0.597,0.596,0.216,0.533,1.517
12.573,964.206,9.882,14.863,-9.83,1.261,-1.133e-5,2589,0.287,84,63.5,2.603,0,0.578,0.596,0.273,0.525,1.449
12.623,964.688,9.39,14.532,-9.81,1.49,-1.133e-5,2589,0.287,83.8,63.5,2.586,0,0.557,0.596,0.321,0.526,1.384
12.673,965.145,8.901,14.211,-9.763,2.12,-1.133e-5,2589,0.287,83.5,63.5,2.537,0,0.554,0.596,0.467,0.528,1.321
12.723,965.578,8.414,13.9,-9.715,2.75,-1.134e-5,2589,0.287,83.1,63.5,2.491,0,0.554,0.596,0.611,0.529,1.262
12.773,965.987,7.929,13.6,-9.674,3.266,-1.137e-5,2589,0.287,82.8,63.5,2.453,0,0.551,0.596,0.737,0.525,1.206
12.823,966.371,7.446,13.311,-9.65,3.552,-1.14e-5,2589,0.287,82.6,63.5,2.433,0,0.54,0.596,0.809,0.525,1.155
12.873,966.731,6.964,13.034,-9.615,4.011,-1.138e-5,2589,0.287,82.4,63.5,2.404,0,0.539,0.596,0.915,0.528,1.106
12.923,967.068,6.485,12.77,-9.573,4.469,-1.143e-5,2589,0.287,82.2,63.5,2.372,0,0.543,0.596,1.034,0.524,1.06
12.973,967.38,6.007,12.519,-9.556,4.641,-1.145e-5,2589,0.287,82.1,63.5,2.361,0,0.535,0.596,1.081,0.514,1.018
13.023,967.668,5.529,12.282,-9.564,4.584,-1.144e-5,2589,0.287,82.1,63.5,2.365,0,0.514,0.596,1.062,0.5,0.98
13.073,967.933,5.05,12.061,-9.581,4.354,-1.141e-5,2589,0.287,82.2,63.5,2.377,0,0.487,0.596,1.015,0.49,0.946
13.123,968.173,4.571,11.855,-9.587,4.297,-1.138e-5,2589,0.287,82.2,63.5,2.382,0,0.468,0.596,0.996,0.486,0.914
13.173,968.39,4.092,11.667,-9.58,4.354,-1.137e-5,2589,0.287,82.2,63.5,2.378,0,0.46,0.596,1.01,0.482,0.885
13.223,968.582,3.613,11.495,-9.576,4.354,-1.138e-5,2589,0.287,82.2,63.5,2.377,0,0.452,0.596,1.015,0.474,0.859
13.273,968.751,3.134,11.342,-9.581,4.297,-1.138e-5,2589,0.287,82.2,63.5,2.383,0,0.438,0.596,0.994,0.472,0.836
13.323,968.896,2.655,11.208,-9.577,4.297,-1.14e-5,2589,0.287,82.2,63.5,2.382,0,0.434,0.596,0.995,0.471,0.817
13.373,969.017,2.176,11.094,-9.57,4.297,-1.138e-5,2589,0.287,82.2,63.5,2.382,0,0.433,0.596,0.995,0.463,0.8
13.423,969.114,1.698,10.999,-9.579,4.183,-1.138e-5,2589,0.287,82.3,63.5,2.391,0,0.419,0.596,0.962,0.457,0.787
13.473,969.186,1.219,10.926,-9.585,4.068,-1.138e-5,2589,0.287,82.4,63.5,2.399,0,0.408,0.596,0.933,0.458,0.777
13.523,969.235,0.739,10.873,-9.583,4.011,-1.139e-5,2589,0.287,82.4,63.5,2.404,0,0.41,0.596,0.914,0.458,0.769
13.573,969.26,0.26,10.842,-9.584,3.839,-1.139e-5,2589,0.287,82.5,63.5,2.412,0,0.411,0.596,0.884,0.456,0.765
13.623,969.261,-0.219,10.833,-9.589,3.724,-1.14e-5,2589,0.287,82.6,63.5,2.423,0,0.408,0.596,0.845,0.45,0.764
13.673,969.238,-0.699,10.845,-9.35,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.967,40.291,NaN,NaN,NaN
13.745,969.163,-1.381,10.185,-8.945,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.187,40.291,NaN,NaN,NaN
13.823,969.029,-2.074,9.597,-8.55,NaN,NaN,2589,0.287,0,63.5,-8.062,0,22.96,40.291,NaN,NaN,NaN
13.905,968.831,-2.772,9.087,-8.197,NaN,NaN,2589,0.287,0,63.5,-8.062,0,21.16,40.291,NaN,NaN,NaN
13.992,968.558,-3.487,8.685,-7.817,NaN,NaN,2589,0.287,0,63.5,-8.062,0,20.48,40.291,NaN,NaN,NaN
14.083,968.207,-4.201,8.383,-7.607,NaN,NaN,2589,0.287,0,63.5,-8.062,0,17.271,40.291,NaN,NaN,NaN
14.184,967.743,-4.971,8.276,-7.333,NaN,NaN,2589,0.287,0,63.5,-8.062,0,15.604,40.291,NaN,NaN,NaN
14.293,967.157,-5.771,8.337,-6.909,NaN,NaN,2589,0.287,0,63.5,-8.062,0,15.912,40.291,NaN,NaN,NaN
14.407,966.455,-6.557,8.494,-6.445,NaN,NaN,2589,0.287,0,63.5,-8.062,0,16.601,40.291,NaN,NaN,NaN
14.526,965.634,-7.32,8.727,-6.106,NaN,NaN,2589,0.287,0,63.5,-8.062,0,16.158,40.291,NaN,NaN,NaN
14.652,964.66,-8.091,9.078,-5.77,NaN,NaN,2589,0.287,0,63.5,-8.062,0,15.734,40.291,NaN,NaN,NaN
14.788,963.506,-8.877,9.54,-5.421,NaN,NaN,2589,0.287,0,63.5,-8.062,0,15.442,40.291,NaN,NaN,NaN
14.936,962.136,-9.677,10.102,-4.923,NaN,NaN,2589,0.287,0,63.5,-8.062,0,16.114,40.291,NaN,NaN,NaN
15.095,960.528,-10.463,10.709,-4.396,NaN,NaN,2589,0.287,0,63.5,-8.062,0,16.92,40.291,NaN,NaN,NaN
15.27,958.636,-11.23,11.349,-3.847,NaN,NaN,2589,0.287,0,63.5,-8.062,0,17.824,40.291,NaN,NaN,NaN
15.463,956.396,-11.973,12.012,-3.321,NaN,NaN,2589,0.287,0,63.5,-8.062,0,18.577,40.291,NaN,NaN,NaN
15.683,953.677,-12.704,12.708,-2.75,NaN,NaN,2589,0.287,0,63.5,-8.062,0,19.531,40.291,NaN,NaN,NaN
15.943,950.286,-13.418,13.425,-2.068,NaN,NaN,2589,0.287,0,63.5,-8.062,0,21.05,40.291,NaN,NaN,NaN
16.249,946.085,-14.051,14.101,-1.536,NaN,NaN,2589,0.287,0,63.5,-8.062,0,21.921,40.291,NaN,NaN,NaN
16.662,940.15,-14.686,14.816,-0.835,NaN,NaN,2589,0.287,0,63.5,-8.062,0,23.608,40.291,NaN,NaN,NaN
17.162,932.703,-15.103,15.362,-0.311,NaN,NaN,2589,0.287,0,63.5,-8.062,0,24.988,40.291,NaN,NaN,NaN
17.662,925.112,-15.259,15.703,-0.205,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.012,40.291,NaN,NaN,NaN
18.162,917.458,-15.361,15.951,-0.126,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.071,40.291,NaN,NaN,NaN
18.662,909.761,-15.424,16.087,-0.051,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.235,40.291,NaN,NaN,NaN
19.162,902.043,-15.449,16.152,-0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.316,40.291,NaN,NaN,NaN
19.662,894.317,-15.457,16.158,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.38,40.291,NaN,NaN,NaN
20.162,886.589,-15.454,16.196,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.381,40.291,NaN,NaN,NaN
20.662,878.863,-15.45,16.162,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.384,40.291,NaN,NaN,NaN
21.162,871.139,-15.445,16.134,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.386,40.291,NaN,NaN,NaN
21.662,863.418,-15.44,16.108,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.383,40.291,NaN,NaN,NaN
22.162,855.7,-15.435,16.112,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
22.662,847.984,-15.428,16.136,0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.413,40.291,NaN,NaN,NaN
23.162,840.272,-15.42,16.079,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.379,40.291,NaN,NaN,NaN
23.662,832.563,-15.416,16.093,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
24.162,824.857,-15.41,16.121,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.384,40.291,NaN,NaN,NaN
24.662,817.153,-15.405,16.135,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.388,40.291,NaN,NaN,NaN
25.162,809.452,-15.399,16.152,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.383,40.291,NaN,NaN,NaN
25.662,801.754,-15.394,16.152,0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.426,40.291,NaN,NaN,NaN
26.162,794.06,-15.384,16.084,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.38,40.291,NaN,NaN,NaN
26.662,786.369,-15.38,16.056,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.382,40.291,NaN,NaN,NaN
27.162,778.679,-15.376,16.035,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.382,40.291,NaN,NaN,NaN
27.662,770.993,-15.371,16.031,0.021,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.435,40.291,NaN,NaN,NaN
28.162,763.31,-15.36,16.085,0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.44,40.291,NaN,NaN,NaN
28.662,755.632,-15.351,16.154,6.192e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.358,40.291,NaN,NaN,NaN
29.162,747.957,-15.351,16.146,0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.415,40.291,NaN,NaN,NaN
29.662,740.283,-15.343,16.08,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
30.162,732.613,-15.338,16.123,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
30.662,724.945,-15.333,16.072,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.376,40.291,NaN,NaN,NaN
31.162,717.28,-15.329,16.054,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.386,40.291,NaN,NaN,NaN
31.662,709.616,-15.324,16.028,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
32.162,701.956,-15.318,15.99,0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.411,40.291,NaN,NaN,NaN
32.662,694.298,-15.311,16.031,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.405,40.291,NaN,NaN,NaN
33.162,686.645,-15.304,16.076,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.373,40.291,NaN,NaN,NaN
33.662,678.993,-15.301,16.065,0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.412,40.291,NaN,NaN,NaN
34.162,671.344,-15.294,16.111,0.017,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.426,40.291,NaN,NaN,NaN
34.662,663.7,-15.285,16.034,0.021,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.459,40.291,NaN,NaN,NaN
35.162,656.06,-15.275,16.117,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.354,40.291,NaN,NaN,NaN
35.662,648.422,-15.276,16.139,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.373,40.291,NaN,NaN,NaN
36.162,640.785,-15.273,16.152,0.02,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.438,40.291,NaN,NaN,NaN
36.662,633.151,-15.263,16.067,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.392,40.291,NaN,NaN,NaN
37.162,625.52,-15.259,16.015,0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.37,40.291,NaN,NaN,NaN
37.662,617.891,-15.256,16.008,0.022,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.446,40.291,NaN,NaN,NaN
38.162,610.266,-15.246,16.075,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.393,40.291,NaN,NaN,NaN
38.662,602.644,-15.242,16.124,0.022,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.46,40.291,NaN,NaN,NaN
39.162,595.026,-15.231,16.021,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.398,40.291,NaN,NaN,NaN
39.662,587.412,-15.227,15.954,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,40.291,NaN,NaN,NaN
40.162,579.798,-15.226,15.94,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.385,40.291,NaN,NaN,NaN
40.662,572.186,-15.222,15.96,0.028,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.479,40.291,NaN,NaN,NaN
41.162,564.579,-15.208,16.04,-6.493e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.358,40.291,NaN,NaN,NaN
41.662,556.975,-15.208,16.023,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.379,40.291,NaN,NaN,NaN
42.162,549.372,-15.204,16.038,0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.383,40.291,NaN,NaN,NaN
42.662,541.77,-15.2,16.039,0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.414,40.291,NaN,NaN,NaN
43.162,534.173,-15.192,16.084,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.401,40.291,NaN,NaN,NaN
43.662,526.578,-15.186,16.127,0.014,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.414,40.291,NaN,NaN,NaN
44.162,518.987,-15.178,16.058,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.409,40.291,NaN,NaN,NaN
44.662,511.4,-15.172,15.992,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.389,40.291,NaN,NaN,NaN
45.162,503.815,-15.168,16.029,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.379,40.291,NaN,NaN,NaN
45.662,496.231,-15.164,16.009,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,40.291,NaN,NaN,NaN
46.162,488.651,-15.158,15.969,0.014,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.408,40.291,NaN,NaN,NaN
46.662,481.073,-15.151,15.913,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.405,40.291,NaN,NaN,NaN
47.162,473.499,-15.145,15.957,0.029,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.493,40.291,NaN,NaN,NaN
47.662,465.93,-15.131,16.051,-0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.348,40.291,NaN,NaN,NaN
48.162,458.364,-15.133,16.038,0.032,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.509,40.291,NaN,NaN,NaN
48.662,450.802,-15.117,15.907,-0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.339,40.291,NaN,NaN,NaN
48.663,450.787,-15.117,15.907,61.422,NaN,NaN,2589,0.287,0,63.5,-8.062,0,184.361,293.153,NaN,NaN,NaN
48.679,450.549,-14.117,14.958,52.313,NaN,NaN,2589,0.287,0,63.5,-8.062,0,160.779,293.153,NaN,NaN,NaN
48.698,450.289,-13.117,14.018,43.827,NaN,NaN,2589,0.287,0,63.5,-8.062,0,138.811,293.153,NaN,NaN,NaN
48.721,450.001,-12.117,13.088,35.964,NaN,NaN,2589,0.287,0,63.5,-8.062,0,118.456,293.153,NaN,NaN,NaN
48.749,449.678,-11.117,12.167,28.724,NaN,NaN,2589,0.287,0,63.5,-8.062,0,99.715,293.153,NaN,NaN,NaN
48.784,449.308,-10.117,11.259,22.134,NaN,NaN,2589,0.287,0,63.5,-8.062,0,82.727,293.153,NaN,NaN,NaN
48.829,448.874,-9.119,10.399,16.165,NaN,NaN,2589,0.287,0,63.5,-8.062,0,67.313,293.153,NaN,NaN,NaN
48.89,448.343,-8.123,9.586,10.806,NaN,NaN,2589,0.287,0,63.5,-8.062,0,53.419,293.153,NaN,NaN,NaN
48.982,447.642,-7.129,8.824,6.049,NaN,NaN,2589,0.287,0,63.5,-8.062,0,41.023,293.153,NaN,NaN,NaN
49.148,446.547,-6.13,8.01,1.959,NaN,NaN,2589,0.287,0,63.5,-8.062,0,30.535,293.153,NaN,NaN,NaN
49.409,445.01,-5.617,7.8,0.043,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.47,293.153,NaN,NaN,NaN
49.695,443.408,-5.605,7.786,0.066,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.7,293.153,NaN,NaN,NaN
49.981,441.808,-5.586,7.55,-0.055,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.238,293.153,NaN,NaN,NaN
50.268,440.203,-5.602,7.639,0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.409,293.153,NaN,NaN,NaN
50.554,438.6,-5.6,7.54,0.032,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.553,293.153,NaN,NaN,NaN
50.84,436.999,-5.591,7.713,-0.041,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.255,293.153,NaN,NaN,NaN
51.126,435.395,-5.603,7.699,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.397,293.153,NaN,NaN,NaN
51.412,433.793,-5.6,7.625,-0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.35,293.153,NaN,NaN,NaN
51.698,432.191,-5.602,7.654,0.104,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.898,293.153,NaN,NaN,NaN
51.984,430.594,-5.572,7.356,-0.088,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.164,293.153,NaN,NaN,NaN
52.272,428.989,-5.597,7.282,-0.001,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.382,293.153,NaN,NaN,NaN
52.558,427.388,-5.598,7.202,0.037,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.575,293.153,NaN,NaN,NaN
52.844,425.789,-5.587,7.368,-0.044,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.246,293.153,NaN,NaN,NaN
53.13,424.187,-5.6,7.391,0.091,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.828,293.153,NaN,NaN,NaN
53.416,422.59,-5.574,7.127,-0.067,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.239,293.153,NaN,NaN,NaN
53.703,420.988,-5.593,7.029,0.014,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.48,293.153,NaN,NaN,NaN
53.989,419.389,-5.589,7.168,-0.029,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.288,293.153,NaN,NaN,NaN
54.275,417.788,-5.597,7.139,0.112,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.942,293.153,NaN,NaN,NaN
54.561,416.193,-5.566,7.389,-0.107,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.088,293.153,NaN,NaN,NaN
54.848,414.59,-5.596,7.456,0.041,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.575,293.153,NaN,NaN,NaN
55.134,412.993,-5.585,7.277,-0.038,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.265,293.153,NaN,NaN,NaN
55.42,411.393,-5.596,7.249,-3.666e-4,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.359,293.153,NaN,NaN,NaN
55.706,409.795,-5.596,7.259,0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.4,293.153,NaN,NaN,NaN
55.991,408.197,-5.593,7.325,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.435,293.153,NaN,NaN,NaN
56.277,406.6,-5.59,7.431,0.232,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.619,293.153,NaN,NaN,NaN
56.563,405.012,-5.524,7.827,-0.177,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.076,293.153,NaN,NaN,NaN
56.852,403.407,-5.575,8.101,-0.064,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.195,293.153,NaN,NaN,NaN
57.138,401.808,-5.593,8.084,0.098,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.869,293.153,NaN,NaN,NaN
57.424,400.215,-5.565,7.78,-0.052,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.337,293.153,NaN,NaN,NaN
57.711,398.616,-5.58,7.608,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.503,293.153,NaN,NaN,NaN
57.997,397.021,-5.578,7.419,-0.046,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.241,293.153,NaN,NaN,NaN
58.283,395.423,-5.592,7.406,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.413,293.153,NaN,NaN,NaN
58.568,393.827,-5.589,7.321,-0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.338,293.153,NaN,NaN,NaN
58.853,392.232,-5.591,7.327,0.012,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.416,293.153,NaN,NaN,NaN
59.139,390.637,-5.588,7.243,0.043,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.603,293.153,NaN,NaN,NaN
59.424,389.044,-5.575,7.42,-0.024,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.364,293.153,NaN,NaN,NaN
59.71,387.448,-5.582,7.561,-0.017,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.334,293.153,NaN,NaN,NaN
59.996,385.853,-5.587,7.493,-0.005,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.35,293.153,NaN,NaN,NaN
60.281,384.259,-5.589,7.468,0.011,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.414,293.153,NaN,NaN,NaN
60.566,382.665,-5.585,7.552,-0.009,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.338,293.153,NaN,NaN,NaN
60.852,381.071,-5.588,7.54,0.02,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.461,293.153,NaN,NaN,NaN
61.137,379.478,-5.582,7.42,0.034,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.579,293.153,NaN,NaN,NaN
61.422,377.887,-5.572,7.227,-0.049,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.232,293.153,NaN,NaN,NaN
61.708,376.292,-5.587,7.248,0.007,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.394,293.153,NaN,NaN,NaN
61.993,374.699,-5.585,7.308,0.053,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.644,293.153,NaN,NaN,NaN
62.278,373.109,-5.57,7.496,-0.055,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.219,293.153,NaN,NaN,NaN
62.564,371.514,-5.585,7.526,0.164,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.215,293.153,NaN,NaN,NaN
62.849,369.929,-5.538,7.151,-0.036,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.593,293.153,NaN,NaN,NaN
63.137,368.336,-5.549,7.453,-0.082,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.253,293.153,NaN,NaN,NaN
63.424,366.741,-5.572,7.644,-0.019,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.361,293.153,NaN,NaN,NaN
63.709,365.149,-5.578,7.527,0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.49,293.153,NaN,NaN,NaN
63.994,363.559,-5.573,7.368,-0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.363,293.153,NaN,NaN,NaN
64.28,361.967,-5.578,7.48,-0.015,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.324,293.153,NaN,NaN,NaN
64.565,360.376,-5.582,7.457,0.084,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.793,293.153,NaN,NaN,NaN
64.85,358.789,-5.558,7.688,-0.066,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.227,293.153,NaN,NaN,NaN
65.136,357.197,-5.577,7.595,0.033,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.565,293.153,NaN,NaN,NaN
65.421,355.608,-5.568,7.776,0.042,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.694,293.153,NaN,NaN,NaN
65.706,354.021,-5.556,8.034,-0.079,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.169,293.153,NaN,NaN,NaN
65.992,352.428,-5.578,8.12,-0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.349,293.153,NaN,NaN,NaN
66.277,350.839,-5.58,8.121,0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.365,293.153,NaN,NaN,NaN
66.562,349.25,-5.579,8.104,0.101,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.879,293.153,NaN,NaN,NaN
66.847,347.666,-5.551,7.797,-0.086,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.167,293.153,NaN,NaN,NaN
67.133,346.074,-5.575,7.91,0.172,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.285,293.153,NaN,NaN,NaN
67.418,344.493,-5.526,7.493,-0.017,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.744,293.153,NaN,NaN,NaN
67.705,342.904,-5.531,7.156,-0.099,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.265,293.153,NaN,NaN,NaN
67.992,341.313,-5.559,7.383,-0.053,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.24,293.153,NaN,NaN,NaN
68.278,339.723,-5.575,7.464,0.016,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.457,293.153,NaN,NaN,NaN
68.562,338.137,-5.57,7.585,0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.465,293.153,NaN,NaN,NaN
68.847,336.551,-5.567,7.734,0.064,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.768,293.153,NaN,NaN,NaN
