time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z
0.0,0.0,0.0,0.0,0.0,0.0,-0.24525000000000002,1.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,2.3129480542437855,1.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,4.603433526398689,1.0,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0,0.0,0.0,6.962365084198744,1.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,9.389710814883372,1.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0,11.871967361154834,1.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,14.398616223593667,1.0,0.0,0.0,0.0
0.175,0.0,0.0,0.005943452376567983,0.0,0.0,16.966996711687056,1.0,0.0,0.0,0.0
0.19999999999999998,0.0,0.0,0.013816101238630363,0.0,0.0,19.533219779718042,0.9999999972402636,0.0,0.0,7.429315450207026e-05
0.22499999999999998,0.0,0.0,0.02373662445937849,0.0,0.0,22.085484333792046,0.9999999694968789,0.0,0.0,0.0002469944158249459
0.24999999999999997,0.0,0.0,0.03574315368511499,0.0,0.0,24.622156736426177,0.9999998521939542,0.0,0.0,0.0005437021885841103
0.27499999999999997,0.0,0.0,0.04980450466928204,0.0,0.0,27.135475484489376,0.9999995094632287,0.0,0.0,0.0009904914447485345
0.3,0.0,0.0,0.06581751905516059,0.0,0.0,29.619323038718264,0.9999986990386238,0.0,0.0,0.0016130471351383628
0.325,0.0,0.0,0.08361688662205231,0.0,0.0,32.07359043399532,0.9999970335219112,0.0,0.0,0.0024357642286587373
0.35000000000000003,0.0,0.0,0.10299503271081284,0.0,0.0,34.51755250921114,0.999993941404499,0.0,0.0,0.003480970309417919
0.37500000000000006,0.0,0.0,0.1237459081518191,0.0,0.0,36.96128669269136,0.9999886311329439,0.0,0.0,0.004768396466439281
0.4000000000000001,0.0,0.0,0.14566310272110608,0.0,0.0,39.40455133879437,0.9999800589561115,0.0,0.0,0.006315195177636639
0.4250000000000001,0.0,0.0,0.16853247214051817,0.0,0.0,41.847201204244385,0.9999669027399023,0.0,0.0,0.008135934166816051
0.4500000000000001,0.0,0.0,0.19214109048131833,0.0,0.0,44.289054994934716,0.9999475442454905,0.0,0.0,0.010242497615961889
0.47500000000000014,0.0,0.0,0.2162848528587754,0.0,0.0,46.729922443739056,0.9999200601876802,0.0,0.0,0.012644098792164497
0.5000000000000001,0.0,0.0,0.24077472314768383,0.0,0.0,49.169379334573115,0.9998822219165836,0.0,0.0,0.015347387241999615
0.5250000000000001,0.0,0.0,0.26544098271545874,0.0,0.0,51.60489471214679,0.9998315028045425,0.0,0.0,0.01835663366770475
0.5500000000000002,0.0,0.0,0.29013223297795404,0.0,0.0,54.03627794367737,0.999765091974005,0.0,0.0,0.021673967569630345
0.5750000000000002,0.0,0.0,0.3147221316375035,0.0,0.0,56.463289993945686,0.9996799138373276,0.0,0.0,0.025299602174607964
0.6000000000000002,0.0,0.0,0.3391094852411485,0.0,0.0,58.88568847064977,0.9995726495823152,0.0,0.0,0.029232143386866107
0.6250000000000002,0.0,0.0,0.363217235817565,0.0,0.0,61.306068806100726,0.9994397594387883,0.0,0.0,0.033468899786771075
0.6500000000000002,0.0,0.0,0.38699660763345445,0.0,0.0,63.72450824495669,0.9992775041444827,0.0,0.0,0.03800617990239405
0.6750000000000003,0.0,0.0,0.4104180810107276,0.0,0.0,66.14080625006189,0.9990819611727462,0.0,0.0,0.042839641212544625
0.7000000000000003,0.0,0.0,0.43346774737392857,0.0,0.0,68.5547861941097,0.9988490397542296,0.0,0.0,0.04796452628822523
0.7250000000000003,0.0,0.0,0.45614434848160357,0.0,0.0,70.9726314124999,0.9985744931063727,0.0,0.0,0.053375853317309
0.7500000000000003,0.0,0.0,0.47847128313563064,0.0,0.0,73.3957995076114,0.998253927661755,0.0,0.0,0.05906856954319874
0.7750000000000004,0.0,0.0,0.5004797983325694,0.0,0.0,75.8241453800587,0.9978827974815558,0.0,0.0,0.06503785428797819
0.8000000000000004,0.0,0.0,0.5222023091906715,0.0,0.0,78.25741241583466,0.9974564020428662,0.0,0.0,0.07127921172193118
0.8250000000000004,0.0,0.0,0.5436706399179433,0.0,0.0,80.68940974250711,0.9969698853951093,0.0,0.0,0.077788479964981
0.8500000000000004,0.0,0.0,0.564899703336096,0.0,0.0,83.11943406788015,0.9964182349495556,0.0,0.0,0.08456181797958347
0.8750000000000004,0.0,0.0,0.5859046547451292,0.0,0.0,85.54729149502718,0.9957962976366056,0.0,0.0,0.09159548904410651
0.9000000000000005,0.0,0.0,0.6067014644368376,0.0,0.0,87.97278819704512,0.9950987825651549,0.0,0.0,0.09888585812615622
