0.016,0.659
0.016,0.657
0.017,0.652
0.018,0.645
0.02,0.638
0.022,0.632
0.024,0.625
0.026,0.619
0.028,0.613
0.03,0.607
0.033,0.601
0.035,0.596
0.038,0.596
0.04,0.596
0.042,0.596
0.044,0.596
0.048,0.596
0.052,0.596
0.06,0.596
0.071,0.596
0.081,0.597
0.089,0.597
0.097,0.597
0.105,0.597
0.113,0.598
0.121,0.598
0.131,0.598
0.146,0.599
0.16,0.6
0.171,0.6
0.177,0.6
0.182,0.601
0.186,0.601
0.19,0.601
0.194,0.601
0.197,0.602
0.201,0.602
0.204,0.602
0.207,0.602
0.211,0.603
0.214,0.603
0.218,0.603
0.222,0.603
0.227,0.604
0.233,0.604
0.243,0.605
0.257,0.606
0.261,0.606
0.265,0.607
0.268,0.607
0.271,0.607
0.274,0.607
0.276,0.608
0.279,0.608
0.282,0.608
0.284,0.608
0.287,0.609
0.291,0.609
0.294,0.609
0.299,0.61
0.307,0.61
0.318,0.612
0.322,0.612
0.325,0.612
0.328,0.613
0.331,0.613
0.333,0.613
0.336,0.613
0.339,0.614
0.342,0.614
0.346,0.614
0.35,0.615
0.357,0.616
0.366,0.617
0.371,0.617
0.374,0.618
0.377,0.618
0.38,0.618
0.382,0.619
0.385,0.619
0.388,0.619
0.39,0.62
0.394,0.62
0.399,0.621
0.406,0.622
0.411,0.622
0.415,0.623
0.418,0.623
0.42,0.624
0.423,0.624
0.426,0.624
0.429,0.625
0.433,0.625
0.438,0.626
0.447,0.627
0.45,0.628
0.454,0.628
0.456,0.629
0.459,0.629
0.462,0.629
0.465,0.63
0.469,0.631
0.474,0.631
0.482,0.632
0.484,0.633
0.486,0.633
0.487,0.633
0.489,0.634
0.49,0.634
0.492,0.634
0.494,0.634
0.496,0.635
0.497,0.635
0.497,0.635
0.497,0.635
0.498,0.635
0.498,0.635
0.498,0.635
0.497,0.635
0.497,0.635
0.495,0.635
